name	comparisons	concepts	mean_distance_pm	mean_distance_wn	pval
PID_PI3KCI_PATHWAY	1128	48	0.19665140593231115	0.19112340856956295	0.17043055700783458
PID_INSULIN_GLUCOSE_PATHWAY	325	26	0.20052872931251714	0.18152592994429909	0.007061728693152269
PID_MAPK_TRK_PATHWAY	561	34	0.19131600392426418	0.1933464081727945	0.6962546437951339
PID_HDAC_CLASSII_PATHWAY	561	34	0.19141433529949725	0.1888723205827908	0.6403618572498901
PID_INTEGRIN2_PATHWAY	406	29	0.2028482149450125	0.20645873336972104	0.5590621632299695
PID_CERAMIDE_PATHWAY	946	44	0.1874958641415012	0.19422546872307553	0.10327686662265183
PID_UPA_UPAR_PATHWAY	861	42	0.1972749018036788	0.19053003359066667	0.11042438754156327
PID_FOXM1_PATHWAY	780	40	0.19534350924742824	0.19335836688164598	0.6630089522360751
PID_TCR_RAS_PATHWAY	91	14	0.18841970170448877	0.2130766963084569	0.06321517430965516
PID_IL5_PATHWAY	91	14	0.19713497403867178	0.21428156445171073	0.16849669286613037
PID_PI3KCI_AKT_PATHWAY	595	35	0.20770919758829978	0.21493568580265174	0.17798078800463307
PID_HEDGEHOG_GLI_PATHWAY	1128	48	0.199954086417271	0.1937966440226742	0.1263372773450432
PID_ERBB4_PATHWAY	703	38	0.19338571199902596	0.19877194305557816	0.253021232186398
PID_AURORA_B_PATHWAY	741	39	0.19687170207611152	0.1897023083514056	0.1607985863467392
PID_TCR_PATHWAY	2016	64	0.1915290214644911	0.18419356767935297	0.009677792471647816
PID_NOTCH_PATHWAY	1711	59	0.1949390358977662	0.1897115588847079	0.08091872790290777
PID_VEGF_VEGFR_PATHWAY	45	10	0.17071427425919045	0.23492141970456693	0.0002591835912805733
PID_ATF2_PATHWAY	1711	59	0.1977270151109682	0.19793798851886	0.9472890261034711
PID_CXCR4_PATHWAY	4950	100	0.1947509731667517	0.18778665682023027	0.00017024202506065456
PID_ARF6_DOWNSTREAM_PATHWAY	105	15	0.18358180851903622	0.18106800073150828	0.8352168787163917
PID_P73PATHWAY	3081	79	0.1941936438097039	0.19076023610325826	0.13967794989315757
PID_INTEGRIN_A4B1_PATHWAY	528	33	0.200753735901639	0.18973356426995358	0.047734459827606386
PID_RANBP2_PATHWAY	55	11	0.17115485967560953	0.18847806592443442	0.24125456344242838
PID_ATM_PATHWAY	561	34	0.17726291270081043	0.19995041835666574	3.364520404174506e-05
PID_ARF_3PATHWAY	171	19	0.19134968685631992	0.19742471527088554	0.5615542865519302
PID_IL12_2PATHWAY	1891	62	0.19497848332184525	0.18746801703583624	0.013027252800031213
PID_LIS1_PATHWAY	378	28	0.1959384548129155	0.1849941191038968	0.08382664072098933
PID_BCR_5PATHWAY	1953	63	0.19397941348878214	0.20510845886077195	0.00020281524591145736
PID_HDAC_CLASSI_PATHWAY	2145	66	0.19856238927415856	0.19770121502040564	0.7563928415744254
PID_TCR_JNK_PATHWAY	91	14	0.18472149636805338	0.18958112401687954	0.6772052493723559
PID_FGF_PATHWAY	1485	55	0.2041104365455246	0.19945220835382596	0.15146313759654295
PID_INTEGRIN4_PATHWAY	55	11	0.1973652504166831	0.20364924417481053	0.7062489298083211
PID_S1P_S1P4_PATHWAY	91	14	0.17228398002420758	0.18720207319856208	0.24348909478837572
PID_AVB3_INTEGRIN_PATHWAY	2701	74	0.19436227219082503	0.19212369365927845	0.3742628540908892
PID_LPA4_PATHWAY	105	15	0.17197742917968772	0.18210820935352923	0.41799835913795746
PID_FCER1_PATHWAY	1770	60	0.1851725104005357	0.19795077726111857	3.925453668431383e-05
PID_THROMBIN_PAR4_PATHWAY	105	15	0.2002866216976892	0.1964357835339424	0.7485894907607444
PID_NETRIN_PATHWAY	496	32	0.1812697979876509	0.19928466226091016	0.002083443526777609
PID_RAS_PATHWAY	435	30	0.17897407259727932	0.21026981289370347	3.4275957032393177e-07
PID_ER_NONGENOMIC_PATHWAY	780	40	0.19884392351226826	0.18443721611672578	0.0024108459420171717
PID_IL2_PI3K_PATHWAY	561	34	0.20524642106641797	0.2220969834624473	0.0016199927973373491
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	703	38	0.20276277222689493	0.1905542999321548	0.014649843280454449
PID_HDAC_CLASSIII_PATHWAY	325	26	0.21017994105743792	0.19045749726161976	0.0060510585274580805
PID_TRKR_PATHWAY	1830	61	0.1882553878137644	0.17616266267904032	3.448016500961222e-05
PID_MET_PATHWAY	3081	79	0.18686320580279195	0.19144857613147814	0.048787693171770376
PID_ERBB1_INTERNALIZATION_PATHWAY	820	41	0.19700221496347353	0.1956752976777358	0.7689921198856737
PID_RHOA_REG_PATHWAY	1035	46	0.2002221236322855	0.1923480378675722	0.06128484140761832
PID_RHODOPSIN_PATHWAY	253	23	0.21977237866271582	0.22374916293057837	0.6797140447487084
PID_P38_MK2_PATHWAY	210	21	0.20618033663647783	0.179398398290087	0.0025100888177040934
PID_INTEGRIN_CS_PATHWAY	325	26	0.19079122426370404	0.19460046082927981	0.5841838607066214
PID_A6B1_A6B4_INTEGRIN_PATHWAY	1035	46	0.19380799508875865	0.19801665303138466	0.266694345086883
PID_EPHB_FWD_PATHWAY	780	40	0.18986185283797807	0.19099331133086392	0.806384436185009
PID_AMB2_NEUTROPHILS_PATHWAY	820	41	0.20199008102519544	0.19919573337389254	0.5331965993283281
PID_E2F_PATHWAY	2628	73	0.20441568194976795	0.19242887264662617	2.2850991854317723e-06
PID_ERBB1_DOWNSTREAM_PATHWAY	5356	104	0.1881000218281968	0.19163567153337616	0.042439177539354715
PID_HEDGEHOG_2PATHWAY	231	22	0.19558368811619453	0.18560561213852414	0.21985083101405575
PID_VEGFR1_PATHWAY	325	26	0.19040805728064558	0.19208205111865312	0.815132576568567
PID_FAS_PATHWAY	703	38	0.1877559732831888	0.18320837202262252	0.3437724692580246
